fecha,tmed,tmax,tmin,hrmed,hrmax,hrmin,radmed,vvmed,vvmax,dvmed,prec,eto
01/01/2000,     7.20,    15.80,     2.20,    79.10,    99.90,    40.50,   111.10,     0.20,     1.30,    30.60,     0.00,     0.50
02/01/2000,     7.00,    15.00,     1.60,    83.50,    99.90,    45.80,   111.90,     0.30,     1.60,    51.90,     0.00,     0.60
03/01/2000,     8.40,    13.20,     5.20,    87.50,    99.90,    61.80,    77.80,     0.20,     2.20,    62.00,     0.00,     0.60
04/01/2000,     9.20,    14.60,     6.40,    84.70,    99.90,    58.50,    82.20,     0.30,     1.70,    89.30,     0.00,     0.70
05/01/2000,     7.20,    14.70,     2.70,    89.00,    99.90,    58.20,   109.00,     0.20,     1.90,    48.60,     0.10,     0.60
06/01/2000,     7.80,    15.70,     2.80,    81.90,    99.90,    42.50,   113.70,     0.30,     1.70,    56.90,     0.00,     0.70
07/01/2000,     6.90,    15.60,     1.40,    79.10,    99.90,    41.40,   110.60,     0.30,     1.70,    61.10,     0.00,     0.60
08/01/2000,     5.70,    11.70,     0.90,    84.50,    99.90,    52.10,    83.20,     0.20,     1.40,    42.60,     0.10,     0.50
09/01/2000,     8.00,    16.80,     1.80,    75.60,    99.90,    38.40,   111.50,     0.30,     1.40,   166.60,     0.00,     0.70
10/01/2000,     8.30,     9.70,     6.50,    90.80,    99.90,    74.30,    23.90,     0.20,     1.40,   130.40,    10.00,     0.50
11/01/2000,     8.90,     9.70,     8.00,    92.60,    99.90,    83.20,    18.70,     0.20,     1.90,    96.50,     3.50,     0.50
12/01/2000,     9.90,    16.00,     5.80,    76.50,    97.50,    48.90,   105.80,     0.30,     2.50,   262.40,     0.00,     0.80
13/01/2000,     8.30,    15.50,     2.80,    79.20,    99.90,    40.30,   117.20,     0.40,     2.10,   174.90,     0.00,     0.80
14/01/2000,     7.40,    11.60,     4.30,    98.40,    99.90,    86.30,    38.20,     0.20,     2.90,   311.70,     4.60,     0.50
15/01/2000,     8.50,    11.50,     5.80,    91.60,    99.90,    76.10,    68.40,     0.40,     2.30,    57.60,     0.00,     0.60
16/01/2000,     9.60,    12.80,     6.60,    85.50,    99.90,    62.30,    86.50,     0.40,     2.50,    21.70,     2.90,     0.70
17/01/2000,     8.90,    15.70,     5.00,    87.30,    99.90,    54.60,    91.00,     0.30,     2.20,   121.20,     0.10,     0.80
18/01/2000,    10.60,    17.20,     4.70,    63.00,    99.90,    36.00,   129.10,     1.10,     3.90,   259.00,     0.00,     1.40
19/01/2000,    11.10,    15.80,     7.20,    53.30,    93.00,    36.30,   123.00,     0.80,     3.40,   171.50,     0.00,     1.20
20/01/2000,     8.70,    11.80,     4.30,    85.10,    99.70,    65.80,    47.10,     0.20,     1.50,   102.90,     0.00,     0.60
21/01/2000,     8.90,    16.30,     3.90,    81.20,    99.90,    45.70,   123.40,     0.30,     2.00,   112.10,     0.00,     0.90
22/01/2000,     8.80,    16.80,     4.10,    76.80,    99.10,    40.70,   128.50,     0.50,     2.30,   246.90,     0.00,     1.00
23/01/2000,     8.50,    13.90,     4.00,    58.60,    94.30,    32.60,   132.20,     0.80,     3.70,   306.50,     0.00,     1.10
24/01/2000,     6.50,    12.50,     1.70,    61.60,    88.20,    34.70,   131.30,     0.50,     2.80,   265.90,     0.00,     0.90
25/01/2000,     6.90,    10.30,     3.40,    73.90,    89.00,    57.60,    65.50,     0.60,     2.40,    66.90,     0.00,     0.80
26/01/2000,     9.60,    14.50,     6.90,    75.30,    95.20,    49.30,   122.00,     0.60,     2.80,    77.20,     0.00,     1.00
27/01/2000,     9.10,    13.80,     4.60,    86.10,    99.90,    62.70,    72.90,     0.50,     3.00,    78.50,     0.00,     0.80
28/01/2000,    10.30,    16.10,     6.60,    81.50,    99.90,    50.20,   127.70,     0.20,     2.10,    55.80,     0.00,     0.90
29/01/2000,    10.40,    19.50,     5.40,    77.40,    99.80,    33.10,   134.30,     0.30,     2.40,   147.70,     0.00,     1.10
30/01/2000,    12.50,    21.40,     5.50,    65.20,    95.00,    28.90,   140.20,     1.50,     4.50,   253.10,     0.00,     2.20
31/01/2000,    11.40,    19.50,     5.80,    65.60,    94.30,    34.30,   112.30,     0.40,     1.70,   196.40,     0.00,     1.10
01/02/2000,    14.30,    24.10,     7.00,    54.50,    78.90,    28.40,   116.10,     0.60,     2.00,   226.60,     0.00,     1.60
02/02/2000,    16.20,    22.30,    10.80,    56.50,    73.60,    38.00,   137.50,     1.30,     5.70,   330.30,     0.00,     2.10
03/02/2000,    15.80,    22.40,     9.10,    54.60,    83.00,    33.30,   145.30,     0.70,     3.30,   236.50,     0.00,     1.60
04/02/2000,    11.40,    19.50,     5.80,    74.10,    97.10,    45.40,   140.20,     0.40,     2.60,    69.10,     0.00,     1.30
05/02/2000,    10.00,    20.20,     3.70,    72.30,    99.90,    23.50,   147.60,     0.40,     2.50,    72.30,     0.00,     1.20
06/02/2000,    10.80,    20.70,     3.40,    60.40,    81.70,    22.00,   156.00,     0.60,     3.20,   259.00,     0.00,     1.50
07/02/2000,    15.20,    21.40,    10.90,    47.70,    68.90,    33.30,   132.00,     0.90,     4.70,   259.40,     0.00,     1.90
08/02/2000,    15.50,    24.90,    10.10,    56.00,    74.30,    30.90,   151.10,     0.90,     3.60,   257.40,     0.00,     2.10
09/02/2000,    16.30,    22.30,    10.80,    51.30,    82.50,    32.30,   152.40,     1.30,     4.10,   274.50,     0.00,     2.30
10/02/2000,    12.40,    20.20,     6.40,    77.00,    97.50,    46.00,   156.40,     0.80,     3.40,   254.90,     0.00,     1.70
11/02/2000,    14.40,    22.10,     7.60,    63.80,    93.20,    30.20,   150.30,     0.70,     3.00,   229.50,     0.00,     1.80
12/02/2000,    13.60,    20.90,     8.40,    67.60,    86.90,    33.20,   140.80,     1.10,     4.30,    75.60,     0.00,     2.00
13/02/2000,    12.80,    18.90,     7.40,    74.60,    98.20,    47.90,   154.90,     1.40,     5.10,   255.20,     0.00,     1.90
14/02/2000,    16.50,    23.60,    10.20,    42.10,    78.20,    27.10,   133.40,     0.70,     3.90,   290.10,     0.00,     2.00
15/02/2000,    14.60,    24.50,     7.70,    64.90,    89.10,    29.70,   166.00,     0.70,     4.00,   265.70,     0.00,     2.00
16/02/2000,    16.80,    24.50,    10.00,    50.00,    83.90,    22.90,   149.20,     0.70,     2.80,   272.70,     0.00,     2.00
17/02/2000,    17.40,    23.00,    11.00,    36.30,    52.70,    23.20,   174.00,     1.90,     7.10,   301.50,     0.00,     3.30
18/02/2000,    16.90,    21.70,    10.50,    45.80,    70.20,    33.00,   173.50,     1.10,     3.90,   253.30,     0.00,     2.30
19/02/2000,    16.60,    27.00,     9.20,    45.90,    72.80,    16.90,   177.40,     0.80,     3.10,   259.90,     0.00,     2.50
20/02/2000,    14.80,    21.80,     8.90,    52.30,    88.00,    30.00,   175.10,     0.90,     3.80,   106.20,     0.00,     2.30
21/02/2000,    12.60,    17.80,     8.20,    79.90,    96.40,    60.40,   109.00,     0.50,     3.10,    95.80,     0.00,     1.30
22/02/2000,    14.50,    21.90,     8.40,    73.60,    99.90,    35.80,   165.40,     0.70,     4.30,   257.70,     0.00,     2.00
23/02/2000,    14.90,    20.80,    10.50,    69.40,    98.40,    32.90,   159.90,     0.70,     3.50,   359.20,     0.00,     2.00
24/02/2000,    11.40,    16.80,     7.10,    79.90,    95.70,    52.60,    65.40,     0.40,     3.20,   214.50,     0.00,     1.10
25/02/2000,    10.50,    18.30,     4.80,    73.70,    98.00,    46.00,   171.30,     0.60,     3.20,    59.00,     0.00,     1.80
26/02/2000,    11.00,    18.50,     5.60,    78.50,    99.90,    48.80,   170.00,     0.80,     3.40,    60.00,     0.00,     1.90
27/02/2000,    12.90,    20.00,     7.30,    74.40,    99.90,    36.90,   180.60,     0.80,     3.60,    64.30,     0.00,     2.10
28/02/2000,    12.50,    20.10,     6.60,    78.90,    99.90,    47.00,   171.90,     0.40,     3.10,    54.00,     0.00,     1.80
29/02/2000,    13.10,    19.20,     8.70,    81.90,    99.90,    53.70,   115.50,     0.60,     3.50,   280.30,     0.00,     1.60
01/03/2000,    15.70,    25.00,     7.40,    61.40,    99.90,    21.90,   189.50,     1.10,     4.20,   257.70,     0.00,     2.80
02/03/2000,    14.60,    19.70,     7.90,    46.20,    79.70,    19.30,   199.70,     1.10,     4.60,   159.70,     0.00,     2.60
03/03/2000,    11.50,    21.90,     4.30,    70.80,    97.40,    33.00,   198.30,     0.50,     3.80,   314.60,     0.00,     2.10
04/03/2000,    15.80,    25.90,     6.80,    48.30,    89.10,    16.50,   197.30,     0.80,     3.90,   242.80,     0.00,     2.80
05/03/2000,    13.30,    20.60,     6.40,    62.80,    88.80,    36.90,   183.20,     1.00,     3.70,    86.90,     0.00,     2.40
06/03/2000,    13.80,    19.70,     9.70,    76.60,    97.90,    44.20,   163.70,     0.90,     4.80,    79.20,     0.00,     2.20
