DATE,STATION,TOWN,PLACE,HSUN,RADMAX,RADAVG
2000-03-02,TP42,Torre Pacheco,Torre Blanca,9.0,631.0,164.96
2000-04-02,TP42,Torre Pacheco,Torre Blanca,9.0,619.0,162.54
2000-05-02,TP42,Torre Pacheco,Torre Blanca,9.0,668.0,169.79
2000-06-02,TP42,Torre Pacheco,Torre Blanca,9.0,659.0,172.63
2000-08-02,TP42,Torre Pacheco,Torre Blanca,9.0,641.0,170.88
2000-09-02,TP42,Torre Pacheco,Torre Blanca,9.0,656.0,173.5
2000-10-02,TP42,Torre Pacheco,Torre Blanca,9.0,602.0,170.92
2000-11-02,TP42,Torre Pacheco,Torre Blanca,9.0,641.0,170.04
2000-02-13,TP42,Torre Pacheco,Torre Blanca,9.0,643.0,166.88
2000-02-15,TP42,Torre Pacheco,Torre Blanca,9.0,661.0,181.71
2000-02-16,TP42,Torre Pacheco,Torre Blanca,9.0,646.0,172.58
2000-02-17,TP42,Torre Pacheco,Torre Blanca,9.0,723.0,195.63
2000-02-18,TP42,Torre Pacheco,Torre Blanca,9.0,696.0,194.25
2000-02-19,TP42,Torre Pacheco,Torre Blanca,9.0,721.0,201.08
2000-02-20,TP42,Torre Pacheco,Torre Blanca,9.0,715.0,198.83
2000-02-22,TP42,Torre Pacheco,Torre Blanca,9.0,683.0,181.96
2000-02-23,TP42,Torre Pacheco,Torre Blanca,9.0,671.0,165.75
2000-02-24,TP42,Torre Pacheco,Torre Blanca,10.0,724.0,204.88
2000-02-25,TP42,Torre Pacheco,Torre Blanca,9.0,733.0,200.54
2000-02-26,TP42,Torre Pacheco,Torre Blanca,9.0,603.0,152.42
2000-02-27,TP42,Torre Pacheco,Torre Blanca,9.0,718.0,194.67
2000-02-28,TP42,Torre Pacheco,Torre Blanca,9.0,554.0,156.46
2000-01-03,TP42,Torre Pacheco,Torre Blanca,10.0,735.0,207.17
2000-02-03,TP42,Torre Pacheco,Torre Blanca,10.0,759.0,220.75
2000-03-03,TP42,Torre Pacheco,Torre Blanca,10.0,776.0,227.04
2000-04-03,TP42,Torre Pacheco,Torre Blanca,10.0,761.0,222.25
2000-05-03,TP42,Torre Pacheco,Torre Blanca,10.0,715.0,181.71
2000-06-03,TP42,Torre Pacheco,Torre Blanca,10.0,695.0,194.33
2000-07-03,TP42,Torre Pacheco,Torre Blanca,10.0,713.0,203.38
2000-08-03,TP42,Torre Pacheco,Torre Blanca,10.0,749.0,204.13
2000-09-03,TP42,Torre Pacheco,Torre Blanca,10.0,745.0,223.13
2000-10-03,TP42,Torre Pacheco,Torre Blanca,10.0,762.0,226.79
2000-11-03,TP42,Torre Pacheco,Torre Blanca,10.0,741.0,212.83
2000-12-03,TP42,Torre Pacheco,Torre Blanca,10.0,672.0,207.0
2000-03-14,TP42,Torre Pacheco,Torre Blanca,9.0,621.0,146.79
2000-03-15,TP42,Torre Pacheco,Torre Blanca,10.0,761.0,226.92
2000-03-17,TP42,Torre Pacheco,Torre Blanca,10.0,801.0,210.5
2000-03-18,TP42,Torre Pacheco,Torre Blanca,10.0,816.0,249.25
2000-03-19,TP42,Torre Pacheco,Torre Blanca,10.0,751.0,186.71
2000-03-20,TP42,Torre Pacheco,Torre Blanca,10.0,760.0,206.33
2000-03-21,TP42,Torre Pacheco,Torre Blanca,10.0,532.0,145.0
2000-03-23,TP42,Torre Pacheco,Torre Blanca,10.0,830.0,246.21
2000-03-24,TP42,Torre Pacheco,Torre Blanca,10.0,785.0,238.17
2000-03-25,TP42,Torre Pacheco,Torre Blanca,10.0,854.0,230.96
2000-03-26,TP42,Torre Pacheco,Torre Blanca,10.0,864.0,235.21
2000-03-27,TP42,Torre Pacheco,Torre Blanca,10.0,748.0,234.71
2000-03-29,TP42,Torre Pacheco,Torre Blanca,10.0,592.0,186.33
2000-03-30,TP42,Torre Pacheco,Torre Blanca,10.0,861.0,261.42
2000-03-31,TP42,Torre Pacheco,Torre Blanca,10.0,832.0,268.17
2000-01-04,TP42,Torre Pacheco,Torre Blanca,10.0,872.0,263.58
2000-02-04,TP42,Torre Pacheco,Torre Blanca,9.0,694.0,176.79
2000-03-04,TP42,Torre Pacheco,Torre Blanca,11.0,872.0,259.67
2000-05-04,TP42,Torre Pacheco,Torre Blanca,11.0,892.0,290.83
2000-06-04,TP42,Torre Pacheco,Torre Blanca,12.0,892.0,271.79
2000-07-04,TP42,Torre Pacheco,Torre Blanca,11.0,695.0,216.33
2000-09-04,TP42,Torre Pacheco,Torre Blanca,11.0,736.0,175.38
2000-10-04,TP42,Torre Pacheco,Torre Blanca,12.0,919.0,288.83
2000-12-04,TP42,Torre Pacheco,Torre Blanca,12.0,897.0,295.83
2000-04-13,TP42,Torre Pacheco,Torre Blanca,12.0,881.0,288.08
2000-04-14,TP42,Torre Pacheco,Torre Blanca,11.0,910.0,291.67
2000-04-15,TP42,Torre Pacheco,Torre Blanca,11.0,920.0,279.33
2000-04-16,TP42,Torre Pacheco,Torre Blanca,12.0,596.0,171.96
2000-04-17,TP42,Torre Pacheco,Torre Blanca,12.0,888.0,297.5
2000-04-18,TP42,Torre Pacheco,Torre Blanca,12.0,942.0,308.5
2000-04-19,TP42,Torre Pacheco,Torre Blanca,12.0,805.0,241.38
2000-04-20,TP42,Torre Pacheco,Torre Blanca,12.0,918.0,307.88
2000-04-21,TP42,Torre Pacheco,Torre Blanca,12.0,916.0,309.88
2000-04-22,TP42,Torre Pacheco,Torre Blanca,12.0,920.0,298.04
2000-04-23,TP42,Torre Pacheco,Torre Blanca,12.0,941.0,316.25
2000-04-24,TP42,Torre Pacheco,Torre Blanca,12.0,939.0,311.96
2000-04-25,TP42,Torre Pacheco,Torre Blanca,12.0,948.0,325.04
2000-04-26,TP42,Torre Pacheco,Torre Blanca,12.0,883.0,303.29
2000-04-28,TP42,Torre Pacheco,Torre Blanca,12.0,972.0,310.92
2000-04-29,TP42,Torre Pacheco,Torre Blanca,11.0,766.0,234.33
2000-04-30,TP42,Torre Pacheco,Torre Blanca,9.0,351.0,123.13
2000-01-05,TP42,Torre Pacheco,Torre Blanca,9.0,258.0,85.96
2000-02-05,TP42,Torre Pacheco,Torre Blanca,11.0,905.0,275.33
2000-03-05,TP42,Torre Pacheco,Torre Blanca,11.0,911.0,276.13
2000-04-05,TP42,Torre Pacheco,Torre Blanca,12.0,886.0,282.71
2000-06-05,TP42,Torre Pacheco,Torre Blanca,12.0,955.0,283.67
2000-07-05,TP42,Torre Pacheco,Torre Blanca,12.0,887.0,262.58
2000-08-05,TP42,Torre Pacheco,Torre Blanca,12.0,830.0,255.96
2000-09-05,TP42,Torre Pacheco,Torre Blanca,12.0,849.0,249.71
2000-10-05,TP42,Torre Pacheco,Torre Blanca,10.0,827.0,255.58
2000-11-05,TP42,Torre Pacheco,Torre Blanca,12.0,939.0,318.17
2000-12-05,TP42,Torre Pacheco,Torre Blanca,12.0,924.0,303.83
2000-05-13,TP42,Torre Pacheco,Torre Blanca,12.0,952.0,324.5
2000-05-14,TP42,Torre Pacheco,Torre Blanca,12.0,929.0,311.75
2000-05-15,TP42,Torre Pacheco,Torre Blanca,12.0,963.0,325.75
2000-05-16,TP42,Torre Pacheco,Torre Blanca,12.0,734.0,223.46
2000-05-17,TP42,Torre Pacheco,Torre Blanca,12.0,935.0,320.13
2000-05-18,TP42,Torre Pacheco,Torre Blanca,12.0,948.0,319.58
2000-05-19,TP42,Torre Pacheco,Torre Blanca,12.0,939.0,305.54
2000-05-20,TP42,Torre Pacheco,Torre Blanca,12.0,951.0,308.25
2000-05-21,TP42,Torre Pacheco,Torre Blanca,9.0,441.0,122.71
2000-05-22,TP42,Torre Pacheco,Torre Blanca,12.0,924.0,314.67
2000-05-23,TP42,Torre Pacheco,Torre Blanca,11.0,570.0,159.0
2000-05-25,TP42,Torre Pacheco,Torre Blanca,10.0,929.0,292.38
2000-05-26,TP42,Torre Pacheco,Torre Blanca,12.0,946.0,316.33
2000-05-27,TP42,Torre Pacheco,Torre Blanca,12.0,958.0,329.67
2000-05-28,TP42,Torre Pacheco,Torre Blanca,12.0,980.0,293.25
2000-05-29,TP42,Torre Pacheco,Torre Blanca,12.0,954.0,344.42
2000-05-30,TP42,Torre Pacheco,Torre Blanca,12.0,970.0,345.42
2000-05-31,TP42,Torre Pacheco,Torre Blanca,12.0,965.0,346.79
2000-01-06,TP42,Torre Pacheco,Torre Blanca,12.0,960.0,342.08
2000-02-06,TP42,Torre Pacheco,Torre Blanca,12.0,968.0,341.46
2000-03-06,TP42,Torre Pacheco,Torre Blanca,12.0,969.0,315.75
2000-04-06,TP42,Torre Pacheco,Torre Blanca,11.0,913.0,239.88
2000-05-06,TP42,Torre Pacheco,Torre Blanca,12.0,949.0,303.75
2000-06-06,TP42,Torre Pacheco,Torre Blanca,12.0,982.0,342.71
2000-07-06,TP42,Torre Pacheco,Torre Blanca,12.0,986.0,354.79
2000-08-06,TP42,Torre Pacheco,Torre Blanca,12.0,990.0,349.88
2000-09-06,TP42,Torre Pacheco,Torre Blanca,12.0,853.0,268.71
2000-10-06,TP42,Torre Pacheco,Torre Blanca,13.0,1008.0,369.42
2000-11-06,TP42,Torre Pacheco,Torre Blanca,12.0,1032.0,359.17
2000-12-06,TP42,Torre Pacheco,Torre Blanca,12.0,974.0,355.0
2000-06-13,TP42,Torre Pacheco,Torre Blanca,12.0,964.0,333.17
2000-06-14,TP42,Torre Pacheco,Torre Blanca,12.0,964.0,346.29
2000-06-15,TP42,Torre Pacheco,Torre Blanca,12.0,958.0,348.42
2000-06-16,TP42,Torre Pacheco,Torre Blanca,12.0,970.0,356.38
2000-06-17,TP42,Torre Pacheco,Torre Blanca,12.0,994.0,364.0
2000-06-18,TP42,Torre Pacheco,Torre Blanca,12.0,966.0,351.58
2000-06-19,TP42,Torre Pacheco,Torre Blanca,12.0,965.0,352.54
2000-06-20,TP42,Torre Pacheco,Torre Blanca,12.0,989.0,344.13
2000-06-21,TP42,Torre Pacheco,Torre Blanca,12.0,928.0,323.88
